flight_iata,Aircraft_Model,Aircraft_isTurboProp,Aircraft_isWidebody
VZ720,Airbus A320,False,False
AC66,None,None,None
OD151,Boeing 737MAX 8 Passenger,False,False
TR818,Boeing 787-8,False,True
SQ726,Boeing 737-800 (winglets) Passenger/BBJ2,False,False
SQ203,Boeing 737MAX 8 Passenger,False,False
SQ106,Airbus A350-900,False,True
TG475,Boeing 777-300ER,False,True
MH860,Boeing 737-800 (winglets) Passenger/BBJ2,False,False
OD2102,None,None,None
MH806,Boeing 737-800 (winglets) Passenger/BBJ2,False,False
SQ882,None,None,None
PG125,Airbus A319,False,False
MH2608,Boeing 737-800 (winglets) Passenger/BBJ2,False,False
AK705,Airbus A320,False,False
MH2742,Boeing 737-800 (winglets) Passenger/BBJ2,False,False
MH2716,Boeing 737-800 (winglets) Passenger/BBJ2,False,False
MH2612,Boeing 737-800 (winglets) Passenger/BBJ2,False,False
JL712,Boeing 767-300 (winglets) Passenger,False,True
SQ936,Boeing 787-10,False,True
TR384,Airbus A321neo,False,False
AI381,Boeing 787-8,False,True
PG203,ATR 72,True,False
TG433,Boeing 787-8,False,True
TG461,Airbus A350-900,False,True
AK6114,None,None,None
TR274,Airbus A320neo,False,False
TG632,Boeing 777-300ER,False,True
AK6051,Airbus A320,False,False
OD1632,Boeing 737MAX 8 Passenger,False,False
AK582,Airbus A320,False,False
WE130,Airbus A320 (sharklets),False,False
PG123,Airbus A319,False,False
FD8046,None,None,None
SQ600,Airbus A350-900,False,True
PG271,Airbus A320,False,False
AY142,Airbus A350-900,False,True
JL708,Boeing 787-8,False,True
QR831,Boeing 777-300ER,False,True
NH816,Boeing 787-9,False,True
OD1002,Boeing 737MAX 8 Passenger,False,False
TR300,Airbus A320neo,False,False
TR426,Airbus A320neo,False,False
TG403,Airbus A350-900,False,True
TG600,Boeing 777-300ER,False,True
TG676,Boeing 777-300ER,False,True
WE201,Airbus A320 (sharklets),False,False
FD4124,Airbus A320,False,False
PG215,Airbus A320,False,False
TG652,Boeing 787-9,False,True
SQ762,Boeing 737MAX 8 Passenger,False,False
AK5192,None,None,None
AK520,Airbus A320,False,False
MH601,Boeing 737-800 (winglets) Passenger/BBJ2,False,False
SQ132,Boeing 737MAX 8 Passenger,False,False
SQ922,Airbus A350-900,False,True
SQ207,Boeing 777-300ER,False,True
SQ422,Airbus A350-900,False,True
TG620,Boeing 787-8,False,True
WE588,None,None,None
AK25,Airbus A320,False,False
AK427,Airbus A320,False,False
AK822,Airbus A320,False,False
SQ154,Boeing 737MAX 8 Passenger,False,False
TR264,None,None,None
WE560,Airbus A320 (sharklets),False,False
WE289,Airbus A320,False,False
WE550,Airbus A320 (sharklets),False,False
AK5134,Airbus A320,False,False
MH2542,Boeing 737-800 (winglets) Passenger/BBJ2,False,False
AK700,Airbus A320,False,False
VZ114,Airbus A321,False,False
WE241,Airbus A320 (sharklets),False,False
MH2660,Boeing 737-800 (winglets) Passenger/BBJ2,False,False
3K201,Airbus A320,False,False
PG121,Airbus A319,False,False
VZ964,Airbus A320,False,False
WE586,Airbus A320 (sharklets),False,False
AK880,Airbus A320,False,False
MH713,None,None,None
TR304,Airbus A320,False,False
WE102,Airbus A320,False,False
MH871,Boeing 737-800 (winglets) Passenger/BBJ2,False,False
AK5878,Airbus A320,False,False
3K683,Airbus A320,False,False
TR280,Boeing 787-8,False,True
TR480,Airbus A320,False,False
VZ340,Airbus A320,False,False
FD4100,Airbus A320,False,False
AK6326,None,None,None
SV843,None,None,None
SQ104,Boeing 737-800 (winglets) Passenger/BBJ2,False,False
VZ320,Airbus A320,False,False
NH806,Boeing 787-10,False,True
AK703,Airbus A320,False,False
SQ241,Airbus A350-900,False,True
VZ200,Airbus A320,False,False
VZ210,Airbus A321,False,False
PG211,ATR 72,True,False
TG323,Boeing 777-200 / 200ER,False,True
VZ314,Airbus A320,False,False
WE20,Airbus A320 (sharklets),False,False
WE40,Airbus A320 (sharklets),False,False
AK6020,Airbus A320,False,False
MH1204,Boeing 737-800 (winglets) Passenger/BBJ2,False,False
3K511,Airbus A320,False,False
SQ524,Boeing 737MAX 8 Passenger,False,False
AK380,Airbus A320,False,False
AK6430,Airbus A320,False,False
3K243,None,None,None
SQ934,Boeing 737MAX 8 Passenger,False,False
